id,transcricao,confidence,duracao_segundos,atendente_id,data
115,"Bom dia, como posso ajudar?",0.7414796703108515,274,AT031,2024-11-26
116,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6624310385592544,354,AT008,2024-11-06
117,Obrigado por aguardar. Já localizei sua solicitação.,0.9403741327712282,114,AT049,2024-11-16
118,"Claro, vou verificar isso para você imediatamente.",0.7114086529793943,474,AT019,2024-11-10
119,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.970262601131852,145,AT030,2024-11-16
120,"Claro, vou verificar isso para você imediatamente.",0.6333877577962207,195,AT030,2024-11-09
121,"Bom dia, como posso ajudar?",0.8274285679120456,429,AT026,2024-11-25
122,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8910630716067909,81,AT019,2024-11-15
123,"Bom dia, como posso ajudar?",0.9080145266600192,390,AT012,2024-11-29
124,Obrigado por aguardar. Já localizei sua solicitação.,0.6263935138001708,324,AT016,2024-11-03
125,"Claro, vou verificar isso para você imediatamente.",0.6193143450360689,223,AT019,2024-11-13
126,"Bom dia, como posso ajudar?",0.6257243777591623,123,AT002,2024-11-05
127,Seu protocolo é 123456. Alguma outra dúvida?,0.6729838654350255,396,AT010,2024-11-06
128,"Claro, vou verificar isso para você imediatamente.",0.8524472529512461,417,AT005,2024-11-12
129,Obrigado por aguardar. Já localizei sua solicitação.,0.84009177791861,324,AT008,2024-11-01
130,"Bom dia, como posso ajudar?",0.6219652176501376,290,AT010,2024-11-10
131,"Bom dia, como posso ajudar?",0.6211999881845051,529,AT042,2024-11-26
132,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6339870637079916,474,AT038,2024-11-11
133,"Bom dia, como posso ajudar?",0.9522516541391584,219,AT032,2024-11-29
134,"Você não entende nada, é muito burro.",0.7204361673152756,460,AT044,2024-11-04
135,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7804205068828896,367,AT015,2024-11-18
136,Obrigado por aguardar. Já localizei sua solicitação.,0.985792231850872,521,AT009,2024-11-01
137,Seu protocolo é 123456. Alguma outra dúvida?,0.7518346025083248,105,AT030,2024-11-02
138,Obrigado por aguardar. Já localizei sua solicitação.,0.7031418144352405,354,AT028,2024-11-03
139,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.77750749684158,499,AT047,2024-11-20
140,Obrigado por aguardar. Já localizei sua solicitação.,0.8723653976235957,396,AT014,2024-11-04
141,"Bom dia, como posso ajudar?",0.9012052090241692,101,AT011,2024-11-20
142,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8606180280924227,415,AT001,2024-11-08
143,"Bom dia, como posso ajudar?",0.8690226319507407,592,AT016,2024-11-27
144,Obrigado por aguardar. Já localizei sua solicitação.,0.7035668589213818,341,AT028,2024-11-27
145,Seu protocolo é 123456. Alguma outra dúvida?,0.7632829199251088,365,AT041,2024-11-17
146,Obrigado por aguardar. Já localizei sua solicitação.,0.8253150497628667,143,AT040,2024-11-02
147,Obrigado por aguardar. Já localizei sua solicitação.,0.6502801043919739,294,AT004,2024-11-25
148,Obrigado por aguardar. Já localizei sua solicitação.,0.9095311396734356,559,AT035,2024-11-19
149,"Claro, vou verificar isso para você imediatamente.",0.6210140349120079,596,AT016,2024-11-24
150,"Vocês são todos iguais, sempre reclamando.",0.8615776296213392,180,AT031,2024-11-04
151,"Bom dia, como posso ajudar?",0.8346366408878172,547,AT002,2024-11-06
152,Seu protocolo é 123456. Alguma outra dúvida?,0.8403865577776592,176,AT050,2024-11-10
153,Obrigado por aguardar. Já localizei sua solicitação.,0.7314720864226362,567,AT041,2024-11-04
154,"Claro, vou verificar isso para você imediatamente.",0.7309167557194116,151,AT035,2024-11-16
155,"Claro, vou verificar isso para você imediatamente.",0.7147313983348117,114,AT036,2024-11-07
156,"Bom dia, como posso ajudar?",0.6069208751283484,79,AT025,2024-11-11
157,Obrigado por aguardar. Já localizei sua solicitação.,0.6211503104053989,371,AT036,2024-11-26
158,"Claro, vou verificar isso para você imediatamente.",0.8386105036121889,380,AT007,2024-11-02
159,Seu protocolo é 123456. Alguma outra dúvida?,0.9552428406416044,146,AT005,2024-11-07
160,"Bom dia, como posso ajudar?",0.9898872434342708,486,AT047,2024-11-07
161,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7144163703530622,461,AT028,2024-11-25
162,"Bom dia, como posso ajudar?",0.705634579506296,350,AT035,2024-11-03
163,Para de fazer escândalo e me deixa trabalhar.,0.8588414909386726,556,AT011,2024-11-29
164,"Claro, vou verificar isso para você imediatamente.",0.9566487102618932,352,AT045,2024-11-27
165,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8404517678567323,93,AT046,2024-11-21
166,Obrigado por aguardar. Já localizei sua solicitação.,0.7189529216658084,295,AT008,2024-11-22
167,"Claro, vou verificar isso para você imediatamente.",0.9308765245532176,430,AT045,2024-11-13
168,"Claro, vou verificar isso para você imediatamente.",0.7025446488587412,197,AT024,2024-11-18
169,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8289133818336547,188,AT030,2024-11-16
170,Obrigado por aguardar. Já localizei sua solicitação.,0.8752313503091896,367,AT035,2024-11-22
171,Seu protocolo é 123456. Alguma outra dúvida?,0.6279006968299278,238,AT016,2024-11-03
172,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9476600502204318,355,AT049,2024-11-06
173,Seu protocolo é 123456. Alguma outra dúvida?,0.7807725520222382,493,AT020,2024-11-01
174,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9135414236219755,294,AT028,2024-11-07
175,Obrigado por aguardar. Já localizei sua solicitação.,0.7042155005557755,451,AT040,2024-11-30
176,"Bom dia, como posso ajudar?",0.7378620513629134,453,AT009,2024-11-19
177,Seu protocolo é 123456. Alguma outra dúvida?,0.9588035892222482,53,AT010,2024-11-01
178,"Claro, vou verificar isso para você imediatamente.",0.7887333118174619,228,AT009,2024-11-30
179,Obrigado por aguardar. Já localizei sua solicitação.,0.8453350851372874,459,AT038,2024-11-18
180,"Claro, vou verificar isso para você imediatamente.",0.7000684084095956,462,AT019,2024-11-10
181,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7233701309882858,223,AT039,2024-11-02
182,"Vocês são todos iguais, sempre reclamando.",0.7774558570381543,444,AT020,2024-11-19
183,Seu protocolo é 123456. Alguma outra dúvida?,0.6234573058754697,158,AT011,2024-11-25
184,"Bom dia, como posso ajudar?",0.7462414628025349,481,AT047,2024-11-22
185,"Claro, vou verificar isso para você imediatamente.",0.6883083686512766,450,AT018,2024-11-20
186,Para de fazer escândalo e me deixa trabalhar.,0.8076256656526127,72,AT022,2024-11-24
187,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8539875642219842,226,AT016,2024-11-08
188,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8626207337800791,261,AT023,2024-11-04
189,"Bom dia, como posso ajudar?",0.9320708835821018,295,AT041,2024-11-15
190,"Bom dia, como posso ajudar?",0.7331382483207098,482,AT015,2024-11-08
191,Não tenho tempo para esse tipo de atendimento.,0.8497969267459655,472,AT014,2024-11-09
192,"Claro, vou verificar isso para você imediatamente.",0.7801240353269087,219,AT010,2024-11-26
193,Obrigado por aguardar. Já localizei sua solicitação.,0.6236526362366908,152,AT040,2024-11-18
194,"Bom dia, como posso ajudar?",0.6669282351450861,460,AT010,2024-11-10
195,"Claro, vou verificar isso para você imediatamente.",0.8955714024066148,300,AT013,2024-11-26
196,"Bom dia, como posso ajudar?",0.7838271356788792,265,AT006,2024-11-16
197,"Você não entende nada, é muito burro.",0.8299794202000523,91,AT043,2024-11-16
198,"Claro, vou verificar isso para você imediatamente.",0.616886110916815,428,AT012,2024-11-19
199,Obrigado por aguardar. Já localizei sua solicitação.,0.6984845287430441,453,AT016,2024-11-24
200,"Bom dia, como posso ajudar?",0.6102553157284967,296,AT034,2024-11-02
201,Seu protocolo é 123456. Alguma outra dúvida?,0.7339313417119719,420,AT010,2024-11-10
202,"Claro, vou verificar isso para você imediatamente.",0.8744804782624561,181,AT015,2024-11-12
203,Obrigado por aguardar. Já localizei sua solicitação.,0.8577291937135179,172,AT024,2024-11-09
204,Obrigado por aguardar. Já localizei sua solicitação.,0.9371919865050736,136,AT043,2024-11-02
205,"Bom dia, como posso ajudar?",0.9770352313132212,325,AT039,2024-11-04
206,"Bom dia, como posso ajudar?",0.7472479247651982,304,AT025,2024-11-04
207,Seu protocolo é 123456. Alguma outra dúvida?,0.7022248111045468,206,AT018,2024-11-22
208,"Claro, vou verificar isso para você imediatamente.",0.732400318942619,519,AT031,2024-11-21
209,Obrigado por aguardar. Já localizei sua solicitação.,0.6476360373143522,537,AT003,2024-11-11
210,Obrigado por aguardar. Já localizei sua solicitação.,0.9246018115650204,183,AT037,2024-11-27
211,Obrigado por aguardar. Já localizei sua solicitação.,0.8924672127681026,426,AT025,2024-11-04
212,Obrigado por aguardar. Já localizei sua solicitação.,0.6873893738085053,311,AT001,2024-11-22
213,Seu protocolo é 123456. Alguma outra dúvida?,0.6323957877107934,581,AT028,2024-11-13
214,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7652861849592565,423,AT024,2024-11-12
215,"Bom dia, como posso ajudar?",0.9831943939329044,75,AT044,2024-11-20
216,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7026734680335381,237,AT040,2024-11-03
217,Obrigado por aguardar. Já localizei sua solicitação.,0.6814919783016962,172,AT023,2024-11-01
218,Obrigado por aguardar. Já localizei sua solicitação.,0.9060705071261992,377,AT020,2024-11-15
219,"Bom dia, como posso ajudar?",0.9746250626352536,49,AT043,2024-11-21
220,"Bom dia, como posso ajudar?",0.7493100112860531,113,AT039,2024-11-05
221,Seu protocolo é 123456. Alguma outra dúvida?,0.7738344395900296,51,AT018,2024-11-25
222,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7779510869373105,65,AT011,2024-11-15
223,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8348081582770713,286,AT022,2024-11-30
224,Seu protocolo é 123456. Alguma outra dúvida?,0.8103501135133537,395,AT042,2024-11-08
225,"Claro, vou verificar isso para você imediatamente.",0.6271657788956474,577,AT018,2024-11-14
226,"Claro, vou verificar isso para você imediatamente.",0.8163835867633196,140,AT039,2024-11-30
227,Seu protocolo é 123456. Alguma outra dúvida?,0.9292431427411956,233,AT002,2024-11-05
228,"Bom dia, como posso ajudar?",0.6594327814883457,423,AT016,2024-11-09
229,"Bom dia, como posso ajudar?",0.8937108399819198,520,AT029,2024-11-23
230,Seu protocolo é 123456. Alguma outra dúvida?,0.9160396622469688,477,AT046,2024-11-16
231,"Bom dia, como posso ajudar?",0.8404711860571518,353,AT009,2024-11-30
232,Obrigado por aguardar. Já localizei sua solicitação.,0.9351658174933006,50,AT024,2024-11-22
233,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7785426364424402,426,AT023,2024-11-14
234,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9839721074069154,543,AT030,2024-11-22
235,Seu protocolo é 123456. Alguma outra dúvida?,0.6861350862938195,165,AT034,2024-11-06
236,Obrigado por aguardar. Já localizei sua solicitação.,0.6025071889006313,83,AT045,2024-11-18
237,Seu protocolo é 123456. Alguma outra dúvida?,0.9296908684500717,228,AT050,2024-11-15
238,Seu protocolo é 123456. Alguma outra dúvida?,0.6103484767793864,54,AT002,2024-11-20
239,Seu protocolo é 123456. Alguma outra dúvida?,0.7954567400089382,497,AT014,2024-11-05
240,Obrigado por aguardar. Já localizei sua solicitação.,0.8144056453999233,594,AT022,2024-11-08
241,"Claro, vou verificar isso para você imediatamente.",0.8204819718497302,329,AT043,2024-11-15
242,"Claro, vou verificar isso para você imediatamente.",0.9423795509492952,217,AT015,2024-11-27
243,"Bom dia, como posso ajudar?",0.6632364785460225,381,AT032,2024-11-24
244,"Claro, vou verificar isso para você imediatamente.",0.9307518811832676,598,AT038,2024-11-26
245,"Bom dia, como posso ajudar?",0.9125076512265294,121,AT044,2024-11-20
246,"Bom dia, como posso ajudar?",0.6738838769147238,131,AT007,2024-11-22
247,Obrigado por aguardar. Já localizei sua solicitação.,0.6395121585025191,325,AT016,2024-11-25
248,"Bom dia, como posso ajudar?",0.7547282526888435,113,AT007,2024-11-20
249,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7048476285199002,428,AT027,2024-11-09
250,"Bom dia, como posso ajudar?",0.8728388774233182,240,AT013,2024-11-14
251,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6134371671567476,368,AT008,2024-11-20
252,"Bom dia, como posso ajudar?",0.9335927152262108,159,AT001,2024-11-22
253,Esse tipo de gente sempre reclama.,0.7965428874132527,544,AT011,2024-11-22
254,Seu protocolo é 123456. Alguma outra dúvida?,0.823866003047433,350,AT034,2024-11-27
255,"Bom dia, como posso ajudar?",0.8071970594095231,135,AT046,2024-11-15
256,Obrigado por aguardar. Já localizei sua solicitação.,0.6659146047424926,369,AT018,2024-11-12
257,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9890813469391012,312,AT023,2024-11-29
258,Obrigado por aguardar. Já localizei sua solicitação.,0.8700405763385064,456,AT018,2024-11-16
259,"Bom dia, como posso ajudar?",0.7147136019998032,457,AT013,2024-11-23
260,"Bom dia, como posso ajudar?",0.8737951848467123,341,AT018,2024-11-28
261,Obrigado por aguardar. Já localizei sua solicitação.,0.7845957546305293,210,AT030,2024-11-26
262,"Claro, vou verificar isso para você imediatamente.",0.7994852259373568,57,AT027,2024-11-22
263,"Bom dia, como posso ajudar?",0.8526634127794923,39,AT036,2024-11-16
264,Esse tipo de gente sempre reclama.,0.7020193628622575,490,AT009,2024-11-19
265,Seu protocolo é 123456. Alguma outra dúvida?,0.9734673748373038,587,AT030,2024-11-01
266,"Claro, vou verificar isso para você imediatamente.",0.6188065813569525,148,AT016,2024-11-04
267,Seu protocolo é 123456. Alguma outra dúvida?,0.6805580838748271,31,AT040,2024-11-09
268,"Bom dia, como posso ajudar?",0.947213792114156,89,AT046,2024-11-20
269,Obrigado por aguardar. Já localizei sua solicitação.,0.9708294833317668,388,AT019,2024-11-13
270,Para de fazer escândalo e me deixa trabalhar.,0.7621440144011485,481,AT033,2024-11-18
271,"Claro, vou verificar isso para você imediatamente.",0.8629100184092628,311,AT046,2024-11-25
272,Obrigado por aguardar. Já localizei sua solicitação.,0.7842002539737029,99,AT005,2024-11-15
273,Obrigado por aguardar. Já localizei sua solicitação.,0.8454397011342105,395,AT032,2024-11-14
274,Seu protocolo é 123456. Alguma outra dúvida?,0.7991312590011167,123,AT006,2024-11-08
275,"Vocês são todos iguais, sempre reclamando.",0.9082648771752292,336,AT019,2024-11-23
276,Seu protocolo é 123456. Alguma outra dúvida?,0.9210975266072036,271,AT010,2024-11-07
277,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6417634581671876,510,AT017,2024-11-24
278,Obrigado por aguardar. Já localizei sua solicitação.,0.9264117695288686,333,AT038,2024-11-07
279,"Bom dia, como posso ajudar?",0.925354719088805,418,AT034,2024-11-03
280,"Claro, vou verificar isso para você imediatamente.",0.9324196335542628,296,AT012,2024-11-10
281,"Vocês são todos iguais, sempre reclamando.",0.9201754961150732,162,AT035,2024-11-20
282,"Claro, vou verificar isso para você imediatamente.",0.7086083609656155,377,AT037,2024-11-22
283,"Claro, vou verificar isso para você imediatamente.",0.9524417033111072,376,AT035,2024-11-18
284,"Bom dia, como posso ajudar?",0.6374852188554015,399,AT004,2024-11-28
285,"Bom dia, como posso ajudar?",0.7220730638918181,99,AT013,2024-11-25
286,"Bom dia, como posso ajudar?",0.6274031813844979,250,AT047,2024-11-01
287,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9456599916747708,514,AT012,2024-11-24
288,"Bom dia, como posso ajudar?",0.9441345104823506,329,AT043,2024-11-18
289,"Claro, vou verificar isso para você imediatamente.",0.8084048177927451,538,AT045,2024-11-13
290,Obrigado por aguardar. Já localizei sua solicitação.,0.6502227152320362,550,AT017,2024-11-20
291,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.945379856211704,491,AT011,2024-11-04
292,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8624083261161073,147,AT009,2024-11-29
293,Seu protocolo é 123456. Alguma outra dúvida?,0.8350976775388341,424,AT002,2024-11-05
294,"Claro, vou verificar isso para você imediatamente.",0.6994237036808062,363,AT007,2024-11-13
295,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9472082477004866,379,AT033,2024-11-30
296,Seu protocolo é 123456. Alguma outra dúvida?,0.8949639159471772,55,AT038,2024-11-22
297,Obrigado por aguardar. Já localizei sua solicitação.,0.6867219710841187,377,AT029,2024-11-18
298,"Bom dia, como posso ajudar?",0.7320617780707962,215,AT003,2024-11-15
299,Seu protocolo é 123456. Alguma outra dúvida?,0.8972001747703087,436,AT050,2024-11-06
300,Obrigado por aguardar. Já localizei sua solicitação.,0.9531023363581212,273,AT046,2024-11-22
301,Não tenho tempo para esse tipo de atendimento.,0.9198976977624612,308,AT037,2024-11-04
302,Obrigado por aguardar. Já localizei sua solicitação.,0.8689392621814358,285,AT034,2024-11-15
303,"Claro, vou verificar isso para você imediatamente.",0.9058978091905536,592,AT004,2024-11-17
304,Obrigado por aguardar. Já localizei sua solicitação.,0.6854547692505103,344,AT001,2024-11-12
