id,transcricao,confidence,duracao_segundos,atendente_id,data,transcricao_limpo
113,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6177274323228252,457,AT048,2024-11-20,fico feliz em poder ajudar tenha um otimo dia
115,"Bom dia, como posso ajudar?",0.7414796703108515,274,AT031,2024-11-26,bom dia como posso ajudar
116,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6624310385592544,354,AT008,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
119,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.970262601131852,145,AT030,2024-11-16,fico feliz em poder ajudar tenha um otimo dia
121,"Bom dia, como posso ajudar?",0.8274285679120456,429,AT026,2024-11-25,bom dia como posso ajudar
122,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8910630716067909,81,AT019,2024-11-15,fico feliz em poder ajudar tenha um otimo dia
123,"Bom dia, como posso ajudar?",0.9080145266600192,390,AT012,2024-11-29,bom dia como posso ajudar
126,"Bom dia, como posso ajudar?",0.6257243777591623,123,AT002,2024-11-05,bom dia como posso ajudar
130,"Bom dia, como posso ajudar?",0.6219652176501376,290,AT010,2024-11-10,bom dia como posso ajudar
131,"Bom dia, como posso ajudar?",0.6211999881845051,529,AT042,2024-11-26,bom dia como posso ajudar
132,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6339870637079916,474,AT038,2024-11-11,fico feliz em poder ajudar tenha um otimo dia
133,"Bom dia, como posso ajudar?",0.9522516541391584,219,AT032,2024-11-29,bom dia como posso ajudar
135,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7804205068828896,367,AT015,2024-11-18,fico feliz em poder ajudar tenha um otimo dia
139,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.77750749684158,499,AT047,2024-11-20,fico feliz em poder ajudar tenha um otimo dia
141,"Bom dia, como posso ajudar?",0.9012052090241692,101,AT011,2024-11-20,bom dia como posso ajudar
142,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8606180280924227,415,AT001,2024-11-08,fico feliz em poder ajudar tenha um otimo dia
143,"Bom dia, como posso ajudar?",0.8690226319507407,592,AT016,2024-11-27,bom dia como posso ajudar
151,"Bom dia, como posso ajudar?",0.8346366408878172,547,AT002,2024-11-06,bom dia como posso ajudar
156,"Bom dia, como posso ajudar?",0.6069208751283484,79,AT025,2024-11-11,bom dia como posso ajudar
160,"Bom dia, como posso ajudar?",0.9898872434342708,486,AT047,2024-11-07,bom dia como posso ajudar
161,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7144163703530622,461,AT028,2024-11-25,fico feliz em poder ajudar tenha um otimo dia
162,"Bom dia, como posso ajudar?",0.705634579506296,350,AT035,2024-11-03,bom dia como posso ajudar
165,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8404517678567323,93,AT046,2024-11-21,fico feliz em poder ajudar tenha um otimo dia
169,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8289133818336547,188,AT030,2024-11-16,fico feliz em poder ajudar tenha um otimo dia
172,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9476600502204318,355,AT049,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
174,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9135414236219755,294,AT028,2024-11-07,fico feliz em poder ajudar tenha um otimo dia
176,"Bom dia, como posso ajudar?",0.7378620513629134,453,AT009,2024-11-19,bom dia como posso ajudar
181,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7233701309882858,223,AT039,2024-11-02,fico feliz em poder ajudar tenha um otimo dia
184,"Bom dia, como posso ajudar?",0.7462414628025349,481,AT047,2024-11-22,bom dia como posso ajudar
187,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8539875642219842,226,AT016,2024-11-08,fico feliz em poder ajudar tenha um otimo dia
188,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8626207337800791,261,AT023,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
189,"Bom dia, como posso ajudar?",0.9320708835821018,295,AT041,2024-11-15,bom dia como posso ajudar
190,"Bom dia, como posso ajudar?",0.7331382483207098,482,AT015,2024-11-08,bom dia como posso ajudar
194,"Bom dia, como posso ajudar?",0.6669282351450861,460,AT010,2024-11-10,bom dia como posso ajudar
196,"Bom dia, como posso ajudar?",0.7838271356788792,265,AT006,2024-11-16,bom dia como posso ajudar
200,"Bom dia, como posso ajudar?",0.6102553157284967,296,AT034,2024-11-02,bom dia como posso ajudar
205,"Bom dia, como posso ajudar?",0.9770352313132212,325,AT039,2024-11-04,bom dia como posso ajudar
206,"Bom dia, como posso ajudar?",0.7472479247651982,304,AT025,2024-11-04,bom dia como posso ajudar
214,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7652861849592565,423,AT024,2024-11-12,fico feliz em poder ajudar tenha um otimo dia
215,"Bom dia, como posso ajudar?",0.9831943939329044,75,AT044,2024-11-20,bom dia como posso ajudar
216,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7026734680335381,237,AT040,2024-11-03,fico feliz em poder ajudar tenha um otimo dia
219,"Bom dia, como posso ajudar?",0.9746250626352536,49,AT043,2024-11-21,bom dia como posso ajudar
220,"Bom dia, como posso ajudar?",0.7493100112860531,113,AT039,2024-11-05,bom dia como posso ajudar
222,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7779510869373105,65,AT011,2024-11-15,fico feliz em poder ajudar tenha um otimo dia
223,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8348081582770713,286,AT022,2024-11-30,fico feliz em poder ajudar tenha um otimo dia
228,"Bom dia, como posso ajudar?",0.6594327814883457,423,AT016,2024-11-09,bom dia como posso ajudar
229,"Bom dia, como posso ajudar?",0.8937108399819198,520,AT029,2024-11-23,bom dia como posso ajudar
231,"Bom dia, como posso ajudar?",0.8404711860571518,353,AT009,2024-11-30,bom dia como posso ajudar
233,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7785426364424402,426,AT023,2024-11-14,fico feliz em poder ajudar tenha um otimo dia
234,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9839721074069154,543,AT030,2024-11-22,fico feliz em poder ajudar tenha um otimo dia
243,"Bom dia, como posso ajudar?",0.6632364785460225,381,AT032,2024-11-24,bom dia como posso ajudar
245,"Bom dia, como posso ajudar?",0.9125076512265294,121,AT044,2024-11-20,bom dia como posso ajudar
246,"Bom dia, como posso ajudar?",0.6738838769147238,131,AT007,2024-11-22,bom dia como posso ajudar
248,"Bom dia, como posso ajudar?",0.7547282526888435,113,AT007,2024-11-20,bom dia como posso ajudar
249,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7048476285199002,428,AT027,2024-11-09,fico feliz em poder ajudar tenha um otimo dia
250,"Bom dia, como posso ajudar?",0.8728388774233182,240,AT013,2024-11-14,bom dia como posso ajudar
251,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6134371671567476,368,AT008,2024-11-20,fico feliz em poder ajudar tenha um otimo dia
252,"Bom dia, como posso ajudar?",0.9335927152262108,159,AT001,2024-11-22,bom dia como posso ajudar
255,"Bom dia, como posso ajudar?",0.8071970594095231,135,AT046,2024-11-15,bom dia como posso ajudar
257,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9890813469391012,312,AT023,2024-11-29,fico feliz em poder ajudar tenha um otimo dia
259,"Bom dia, como posso ajudar?",0.7147136019998032,457,AT013,2024-11-23,bom dia como posso ajudar
260,"Bom dia, como posso ajudar?",0.8737951848467123,341,AT018,2024-11-28,bom dia como posso ajudar
263,"Bom dia, como posso ajudar?",0.8526634127794923,39,AT036,2024-11-16,bom dia como posso ajudar
268,"Bom dia, como posso ajudar?",0.947213792114156,89,AT046,2024-11-20,bom dia como posso ajudar
277,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6417634581671876,510,AT017,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
279,"Bom dia, como posso ajudar?",0.925354719088805,418,AT034,2024-11-03,bom dia como posso ajudar
284,"Bom dia, como posso ajudar?",0.6374852188554015,399,AT004,2024-11-28,bom dia como posso ajudar
285,"Bom dia, como posso ajudar?",0.7220730638918181,99,AT013,2024-11-25,bom dia como posso ajudar
286,"Bom dia, como posso ajudar?",0.6274031813844979,250,AT047,2024-11-01,bom dia como posso ajudar
287,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9456599916747708,514,AT012,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
288,"Bom dia, como posso ajudar?",0.9441345104823506,329,AT043,2024-11-18,bom dia como posso ajudar
291,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.945379856211704,491,AT011,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
292,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8624083261161073,147,AT009,2024-11-29,fico feliz em poder ajudar tenha um otimo dia
295,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9472082477004866,379,AT033,2024-11-30,fico feliz em poder ajudar tenha um otimo dia
298,"Bom dia, como posso ajudar?",0.7320617780707962,215,AT003,2024-11-15,bom dia como posso ajudar
314,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8420729605131073,388,AT014,2024-11-03,fico feliz em poder ajudar tenha um otimo dia
327,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6167229738555345,264,AT036,2024-11-18,fico feliz em poder ajudar tenha um otimo dia
328,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9241769568956136,534,AT015,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
333,"Bom dia, como posso ajudar?",0.7023729042862366,300,AT015,2024-11-19,bom dia como posso ajudar
334,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9074238105080272,511,AT030,2024-11-21,fico feliz em poder ajudar tenha um otimo dia
339,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7066524946931148,557,AT039,2024-11-07,fico feliz em poder ajudar tenha um otimo dia
340,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7666843729544842,169,AT026,2024-11-20,fico feliz em poder ajudar tenha um otimo dia
345,"Bom dia, como posso ajudar?",0.7295193501970099,110,AT044,2024-11-20,bom dia como posso ajudar
351,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6224639202456269,459,AT041,2024-11-09,fico feliz em poder ajudar tenha um otimo dia
355,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6507311379749963,158,AT048,2024-11-11,fico feliz em poder ajudar tenha um otimo dia
357,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8696614298384617,252,AT003,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
358,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8647805342316832,62,AT048,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
359,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9774005078723118,550,AT019,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
364,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6288474819593585,175,AT041,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
365,"Bom dia, como posso ajudar?",0.9690517873421692,165,AT024,2024-11-09,bom dia como posso ajudar
366,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7031333635972732,164,AT024,2024-11-21,fico feliz em poder ajudar tenha um otimo dia
369,"Bom dia, como posso ajudar?",0.9822493286285172,288,AT021,2024-11-15,bom dia como posso ajudar
372,"Bom dia, como posso ajudar?",0.8466840729464067,424,AT033,2024-11-09,bom dia como posso ajudar
373,"Bom dia, como posso ajudar?",0.644432173200863,557,AT035,2024-11-26,bom dia como posso ajudar
375,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.963533579220812,327,AT016,2024-11-02,fico feliz em poder ajudar tenha um otimo dia
376,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8892052524171989,306,AT047,2024-11-30,fico feliz em poder ajudar tenha um otimo dia
378,"Bom dia, como posso ajudar?",0.6335320914047172,262,AT043,2024-11-11,bom dia como posso ajudar
379,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9881749060657432,483,AT010,2024-11-30,fico feliz em poder ajudar tenha um otimo dia
384,"Bom dia, como posso ajudar?",0.6166672204327603,329,AT044,2024-11-05,bom dia como posso ajudar
385,"Bom dia, como posso ajudar?",0.8407264082595268,412,AT019,2024-11-19,bom dia como posso ajudar
386,"Bom dia, como posso ajudar?",0.8102233394588949,447,AT032,2024-11-01,bom dia como posso ajudar
387,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6416239681773543,365,AT042,2024-11-08,fico feliz em poder ajudar tenha um otimo dia
389,"Bom dia, como posso ajudar?",0.7273191775950482,70,AT029,2024-11-27,bom dia como posso ajudar
391,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6338445481207603,347,AT010,2024-11-11,fico feliz em poder ajudar tenha um otimo dia
394,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6241214653928533,207,AT025,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
401,"Bom dia, como posso ajudar?",0.8416487718038428,51,AT045,2024-11-23,bom dia como posso ajudar
405,"Bom dia, como posso ajudar?",0.6489565731069504,133,AT020,2024-11-08,bom dia como posso ajudar
406,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6124389292188906,526,AT027,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
409,"Bom dia, como posso ajudar?",0.6384116405770972,151,AT039,2024-11-22,bom dia como posso ajudar
412,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9684128593961314,318,AT030,2024-11-28,fico feliz em poder ajudar tenha um otimo dia
414,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8465773624127909,318,AT025,2024-11-14,fico feliz em poder ajudar tenha um otimo dia
415,"Bom dia, como posso ajudar?",0.8965186151047688,148,AT050,2024-11-30,bom dia como posso ajudar
418,"Bom dia, como posso ajudar?",0.6027845691524035,598,AT004,2024-11-24,bom dia como posso ajudar
422,"Bom dia, como posso ajudar?",0.8332290878861144,219,AT041,2024-11-28,bom dia como posso ajudar
428,"Bom dia, como posso ajudar?",0.877797030682856,36,AT012,2024-11-28,bom dia como posso ajudar
434,"Bom dia, como posso ajudar?",0.890171407073348,174,AT049,2024-11-04,bom dia como posso ajudar
437,"Bom dia, como posso ajudar?",0.8380418204082556,391,AT021,2024-11-18,bom dia como posso ajudar
438,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7324441050892776,483,AT017,2024-11-23,fico feliz em poder ajudar tenha um otimo dia
440,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.955451747532924,337,AT025,2024-11-18,fico feliz em poder ajudar tenha um otimo dia
441,"Bom dia, como posso ajudar?",0.8272735682061696,437,AT019,2024-11-07,bom dia como posso ajudar
442,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7911454200971916,161,AT013,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
444,"Bom dia, como posso ajudar?",0.7334597446384172,277,AT011,2024-11-09,bom dia como posso ajudar
448,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9464962170427348,274,AT026,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
450,"Bom dia, como posso ajudar?",0.7197387183072423,137,AT035,2024-11-01,bom dia como posso ajudar
452,"Bom dia, como posso ajudar?",0.8218716047778165,472,AT030,2024-11-09,bom dia como posso ajudar
453,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9113543507229104,188,AT044,2024-11-02,fico feliz em poder ajudar tenha um otimo dia
454,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6049357781227755,508,AT037,2024-11-18,fico feliz em poder ajudar tenha um otimo dia
461,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9389565238518588,440,AT048,2024-11-13,fico feliz em poder ajudar tenha um otimo dia
463,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9174513559018672,237,AT035,2024-11-25,fico feliz em poder ajudar tenha um otimo dia
471,"Bom dia, como posso ajudar?",0.934604596021544,411,AT013,2024-11-05,bom dia como posso ajudar
472,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6871193813609653,32,AT048,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
473,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9749826742041152,433,AT030,2024-11-08,fico feliz em poder ajudar tenha um otimo dia
476,"Bom dia, como posso ajudar?",0.9752229158185268,383,AT013,2024-11-28,bom dia como posso ajudar
478,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7603704633426078,399,AT047,2024-11-29,fico feliz em poder ajudar tenha um otimo dia
479,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7668765303328547,212,AT015,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
480,"Bom dia, como posso ajudar?",0.9848357969227372,357,AT020,2024-11-01,bom dia como posso ajudar
483,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6370006378517702,392,AT013,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
484,"Bom dia, como posso ajudar?",0.7087322815505003,393,AT017,2024-11-28,bom dia como posso ajudar
485,"Bom dia, como posso ajudar?",0.7260814416215507,546,AT044,2024-11-26,bom dia como posso ajudar
486,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9263235749254304,587,AT035,2024-11-22,fico feliz em poder ajudar tenha um otimo dia
489,"Bom dia, como posso ajudar?",0.6454466694535964,55,AT042,2024-11-23,bom dia como posso ajudar
491,"Bom dia, como posso ajudar?",0.9526548104998216,285,AT020,2024-11-26,bom dia como posso ajudar
492,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8988318800507374,539,AT014,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
493,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8330365180131358,466,AT027,2024-11-10,fico feliz em poder ajudar tenha um otimo dia
496,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8952002523706459,284,AT012,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
498,"Bom dia, como posso ajudar?",0.6202577439336812,146,AT006,2024-11-05,bom dia como posso ajudar
500,"Bom dia, como posso ajudar?",0.7122612026934219,251,AT039,2024-11-18,bom dia como posso ajudar
501,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.87841154223398,525,AT017,2024-11-19,fico feliz em poder ajudar tenha um otimo dia
502,"Bom dia, como posso ajudar?",0.656509300941374,498,AT017,2024-11-16,bom dia como posso ajudar
504,"Bom dia, como posso ajudar?",0.6623382583918931,482,AT001,2024-11-18,bom dia como posso ajudar
507,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8082537545446591,84,AT043,2024-11-13,fico feliz em poder ajudar tenha um otimo dia
511,"Bom dia, como posso ajudar?",0.7567510362992782,236,AT037,2024-11-18,bom dia como posso ajudar
512,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6476083811244462,219,AT017,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
515,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9805304667005874,317,AT028,2024-11-09,fico feliz em poder ajudar tenha um otimo dia
517,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9561527862965146,217,AT026,2024-11-16,fico feliz em poder ajudar tenha um otimo dia
518,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6502526734849725,110,AT038,2024-11-06,fico feliz em poder ajudar tenha um otimo dia
521,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.642139471276943,574,AT043,2024-11-24,fico feliz em poder ajudar tenha um otimo dia
523,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6887551557518792,39,AT045,2024-11-12,fico feliz em poder ajudar tenha um otimo dia
524,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6864976948327695,81,AT006,2024-11-15,fico feliz em poder ajudar tenha um otimo dia
532,"Bom dia, como posso ajudar?",0.9394756349374946,203,AT043,2024-11-06,bom dia como posso ajudar
535,"Bom dia, como posso ajudar?",0.7740973511558784,289,AT016,2024-11-28,bom dia como posso ajudar
544,"Bom dia, como posso ajudar?",0.73638903019339,413,AT034,2024-11-28,bom dia como posso ajudar
545,"Bom dia, como posso ajudar?",0.7872010601651867,35,AT023,2024-11-15,bom dia como posso ajudar
548,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7405271037569663,265,AT040,2024-11-02,fico feliz em poder ajudar tenha um otimo dia
555,"Bom dia, como posso ajudar?",0.6625597020256646,201,AT014,2024-11-18,bom dia como posso ajudar
558,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7041608770289591,106,AT037,2024-11-21,fico feliz em poder ajudar tenha um otimo dia
562,"Bom dia, como posso ajudar?",0.9199468766197736,480,AT041,2024-11-16,bom dia como posso ajudar
563,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8463769467889977,520,AT017,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
564,"Bom dia, como posso ajudar?",0.7876902395910359,228,AT050,2024-11-11,bom dia como posso ajudar
565,"Bom dia, como posso ajudar?",0.7353787516583684,141,AT033,2024-11-08,bom dia como posso ajudar
566,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6535361257212904,588,AT022,2024-11-19,fico feliz em poder ajudar tenha um otimo dia
567,"Bom dia, como posso ajudar?",0.8295506474586278,53,AT019,2024-11-09,bom dia como posso ajudar
570,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.7825035635599069,49,AT025,2024-11-03,fico feliz em poder ajudar tenha um otimo dia
572,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6280392721737555,538,AT040,2024-11-19,fico feliz em poder ajudar tenha um otimo dia
573,"Bom dia, como posso ajudar?",0.8668723600954363,102,AT047,2024-11-15,bom dia como posso ajudar
581,"Bom dia, como posso ajudar?",0.8686227312750598,225,AT031,2024-11-13,bom dia como posso ajudar
